"HSVHuntsville International", HuntsvilleDecatur, AL,HSV,"Huntsville International"
"HTSTri-State", Huntington, WV,HTS,"Tri-State"
"HVNTweed-New Haven", New Haven, CT,HVN,"Tweed-New Haven"
"IADWashington Dulles International", Washington, DC,IAD,"Washington Dulles International"
"IAHGeorge Bush Intercontinental", Houston, TX,IAH,"George Bush Intercontinental"
"ICTWichita Mid-Continent", Wichita, KS,ICT,"Wichita Mid-Continent"
"IDAFanning Field", Idaho Falls, ID,IDA,"Fanning Field"
"ILEKilleen Muni", Killeen, TX,ILE,"Killeen Muni"
"ILMNew Hanover International", Wilmington, NC,ILM,"New Hanover International"
"INDIndianapolis International", Indianapolis, IN,IND,"Indianapolis International"
"IPLImperial County", El Centro, CA,IPL,"Imperial County"
"ISPLong Island MacArthur", IslipLong Island, NY,ISP,"Long Island MacArthur"
"ITHTompkins County", Ithaca, NY,ITH,"Tompkins County"
"ITOHilo International", Hilo (Hawaii), HI,ITO,"Hilo International"
"IYKInyokern", Inyokern, CA,IYK,"Inyokern"
"JACJackson Hole", Jackson, WY,JAC,"Jackson Hole"
"JANJackson International", Jackson, MS,JAN,"Jackson International"
"JAXJacksonville International", Jacksonville, FL,JAX,"Jacksonville International"
"JFKJohn F. Kennedy International", New York, NY,JFK,"John F. Kennedy International"
"JNUJuneau International", Juneau, AK,JNU,"Juneau International"
"KOAKona International at Ke-Ahole", Kona (Hawaii), HI,KOA,"Kona International at Ke-Ahole"
"KSMSt Mary's Airport", St. Mary's, AK,KSM,"St Mary's Airport"
"KTNKetchikan International", Ketchikan, AK,KTN,"Ketchikan International"
"LANCapital City", Lansing, MI,LAN,"Capital City"
"LASMcCarran International", Las Vegas, NV,LAS,"McCarran International"
"LAWLawton-Fort Sill Regional", Lawton, OK,LAW,"Lawton-Fort Sill Regional"
"LAXLos Angeles International", Los Angeles, CA,LAX,"Los Angeles International"
"LBBLubbock International", Lubbock, TX,LBB,"Lubbock International"
"LCHLake Charles Regional", Lake Charles, LA,LCH,"Lake Charles Regional"
"LEXBlue Grass", LexingtonFrankfort, KY,LEX,"Blue Grass"
"LFTLafayette Regional", Lafayette, LA,LFT,"Lafayette Regional"
"LGALaGuardia", New York, NY,LGA,"LaGuardia"
"LGBLong Beach", Long Beach, CA,LGB,"Long Beach"
"LIHLihue", Kauai Island, HI,LIH,"Lihue"
"LITAdams Field", Little Rock, AR,LIT,"Adams Field"
"LNKLincoln Municipal", Lincoln, NE,LNK,"Lincoln Municipal"
"LRDLaredo Intl", Laredo, TX,LRD,"Laredo Intl"
"LSELa Cross Municipal", La Crosse, WI,LSE,"La Cross Municipal"
"LWBGreenbrier Valley", Lewisburg, WV,LWB,"Greenbrier Valley"
"LYHLynchburg Reg.  Preston-Glenn Fld", Lynchburg, VA,LYH,"Lynchburg Reg.  Preston-Glenn Fld"
"MAFMidland International", MidlandOdessa, TX,MAF,"Midland International"
"MBSMBS International", Saginaw, MI,MBS," International"
"MCIKansas City International", Kansas City, MO,MCI,"Kansas City International"
"MCNMiddle Georgia Regional", Macon, GA,MCN,"Middle Georgia Regional"
"MCOOrlando International", Orlando, FL,MCO,"Orlando International"
"MDTHarrisburg International", Harrisburg, PA,MDT,"Harrisburg International"
"MDWMidway International", Chicago, IL,MDW,"Midway International"
"MEIKey Field", Meridian, MS,MEI,"Key Field"
"MEMMemphis International", Memphis, TN,MEM,"Memphis International"
"MFEMcAllen Miller International", MissionMcallen, TX,MFE,"McAllen Miller International"
"MFRRogue Valley International-Medford", Medford, OR,MFR,"Rogue Valley International-Medford"
"MGMMontgomery Regional", Montgomery, AL,MGM,"Montgomery Regional"
"MHTManchester", Manchester, NH,MHT,"Manchester"
"MIAMiami International", Miami, FL,MIA,"Miami International"
"MKEGeneral Mitchell International", Milwaukee, WI,MKE,"General Mitchell International"
"MLBMelbourne International", Melbourne, FL,MLB,"Melbourne International"
"MLIQuad-City International", Moline, IL,MLI,"Quad-City International"
"MLUMonroe Regional", Monroe, LA,MLU,"Monroe Regional"
"MOBMobile Regional", Mobile, AL,MOB,"Mobile Regional"
"MODModesto City-County", Modesto, CA,MOD,"Modesto City-County"
"MOTMinot International", Minot, ND,MOT,"Minot International"
"MQTVORDME - Marquette County", Marquette, MI,MQT,"VORDME - Marquette County"
"MRYMonterey Peninsula", Monterey, CA,MRY,"Monterey Peninsula"
"MSNDane County Regional", Madison, WI,MSN,"Dane County Regional"
"MSOMissoula International", Missoula, MT,MSO,"Missoula International"
"MSPMinneapolis-St Paul International", MinneaplsSt Paul, MN,MSP,"Minneapolis-St Paul International"
"MSYLouis Armstrong New Orleans International", New Orleans, LA,MSY,"Louis Armstrong New Orleans International"
"MTJMontrose Regional", Montrose, CO,MTJ,"Montrose Regional"
"MYRMyrtle Beach International", Myrtle Beach, SC,MYR,"Myrtle Beach International"
"OAJAlbert J Ellis", Jacksonville, NC,OAJ,"Albert J Ellis"
"OAKOakland International", Oakland, CA,OAK,"Oakland International"
"OGDOgden-Hinckley", Ogden, UT,OGD,"Ogden-Hinckley"
"OGGKahului", Kahului (Maui), HI,OGG,"Kahului"
"OKCWill Rogers World", Oklahoma City, OK,OKC,"Will Rogers World"
"OMAEppley", Omaha, NE,OMA,"Eppley"
"OMENome", Nome, AK,OME,"Nome"
"ONTOntario International", Ontario, CA,ONT,"Ontario International"
"ORDO'Hare International", Chicago, IL,ORD,"O'Hare International"
"ORFNorfolk International", NorfolkVirginia Beach, VA,ORF,"Norfolk International"
"OTZRalph Wien Memorial", Kotzebue, AK,OTZ,"Ralph Wien Memorial"
"OXROxnard", Oxnard, CA,OXR,"Oxnard"
"PBIPalm Beach International", West Palm Beach, FL,PBI,"Palm Beach International"
"PDXPortland International", Portland, OR,PDX,"Portland International"
"PFNPanama City-Bay County International", Panama City, FL,PFN,"Panama City-Bay County International"
"PHFNewport NewsWilliamsburg International", Newport News, VA,PHF,"Newport NewsWilliamsburg International"
"PHLPhiladelphia International", Philadelphia, PA,PHL,"Philadelphia International"
"PHXPhoenix Sky Harbor International", Phoenix, AZ,PHX,"Phoenix Sky Harbor International"
"PIAGreater Peoria Regional", Peoria, IL,PIA,"Greater Peoria Regional"
"PIESt Petersburg-Clearwater Intl", St. Petersburg, FL,PIE,"St Petersburg-Clearwater Intl"
"PIHPocatello Regional", Pocatello, ID,PIH,"Pocatello Regional"
"PITPittsburgh International", Pittsburgh, PA,PIT,"Pittsburgh International"
"PNSPensacola Regional", Pensacola, FL,PNS,"Pensacola Regional"
"PSCTri-Cities", Pasco, WA,PSC,"Tri-Cities"
"PSGPetersburg James A. Johnson", Petersburg, AK,PSG,"Petersburg James A. Johnson"
"PSPPalm Springs International", IndioPalm Springs, CA,PSP,"Palm Springs International"
"PVDT. F. Green International", Providence, RI,PVD,"T. F. Green International"
"PVUProvo Municipal", Provo, UT,PVU,"Provo Municipal"
"PWMPortland International", Portland, ME,PWM,"Portland International"
"RAPRapid City Regional", Rapid City, SD,RAP,"Rapid City Regional"
"RDDRedding Muni", Redding, CA,RDD,"Redding Muni"
"RDMRoberts Field", Redmond, OR,RDM,"Roberts Field"
"RDURaleigh-Durham International", RaleighDurham, NC,RDU,"Raleigh-Durham International"
"RICRichmond International", Richmond, VA,RIC,"Richmond International"
"RNORenoTahoe International", Reno, NV,RNO,"RenoTahoe International"
"ROARoanoke Regional", Roanoke, VA,ROA,"Roanoke Regional"
"ROCGreater Rochester International", Rochester, NY,ROC,"Greater Rochester International"
"RSTRochester International", Rochester, MN,RST,"Rochester International"
"RSWSouthwest Florida International", Ft. Myers, FL,RSW,"Southwest Florida International"
"SACSacramento Executive", Sacramento, CA,SAC,"Sacramento Executive"
"SANSan Diego International", San Diego, CA,SAN,"San Diego International"
"SATSan Antonio International", San Antonio, TX,SAT,"San Antonio International"
"SAVSavannahHilton Head International", Savannah, GA,SAV,"SavannahHilton Head International"
"SBASanta Barbara Municipal", Santa Barbara, CA,SBA,"Santa Barbara Municipal"
"SBNSouth Bend Regional", South Bend, IN,SBN,"South Bend Regional"
"SBPSan Luis Obispo County", San Luis Obispo, CA,SBP,"San Luis Obispo County"
"SCCDeadhorse", Deadhorse, AK,SCC,"Deadhorse"
"SCEUniversity Park", State College, PA,SCE,"University Park"
"SDFLouisville International", Louisville, KY,SDF,"Louisville International"
"SEASeattle-Tacoma International", Seattle, WA,SEA,"Seattle-Tacoma International"
"SFOSan Francisco International", San Francisco, CA,SFO,"San Francisco International"
"SGFSpringfield-Branson Regional", Springfield, MO,SGF,"Springfield-Branson Regional"
"SGUSt. George Muni", St. George, UT,SGU,"St. George Muni"
"SHVShreveport Regional", Shreveport, LA,SHV,"Shreveport Regional"
"SITSitka Rocky Gutierrez", Sitka, AK,SIT,"Sitka Rocky Gutierrez"
"SJCNorman Y. Mineta San Jose International", San Jose, CA,SJC,"Norman Y. Mineta San Jose International"
"SJTSan Angelo Regional  Mathis Field", San Angelo, TX,SJT,"San Angelo Regional  Mathis Field"
"SJULuis Munoz Marin International", San Juan, PR,SJU,"Luis Munoz Marin International"
"SLCSalt Lake City International", Salt Lake City, UT,SLC,"Salt Lake City International"
"SMFSacramento International", Sacramento, CA,SMF,"Sacramento International"
"SMXSanta Maria Public", Santa Maria, CA,SMX,"Santa Maria Public"
"SNAJohn Wayne", Orange County, CA,SNA,"John Wayne"
"SPNSaipan International", Saipan, MP,SPN,"Saipan International"
"SPSSheppard AFB  Wichita Falls Muni", Wichita Falls, TX,SPS,"Sheppard AFB  Wichita Falls Muni"
"SRQSarasota Bradenton International", SarasotaBradenton, FL,SRQ,"Sarasota Bradenton International"
"STLLambert-St Louis International", St. Louis, MO,STL,"Lambert-St Louis International"
"STTCyril E. King", St. Thomas, VI,STT,"Cyril E. King"
"STXHenry E. Rholsen", St. Croix, VI,STX,"Henry E. Rholsen"
"SUNFriedman Memorial", Hailey, ID,SUN,"Friedman Memorial"
"SUXSioux Gateway", Sioux City, IA,SUX,"Sioux Gateway"
"SWFStewart International", Newburgh, NY,SWF,"Stewart International"
"SYRSyracuse Hancock International", Syracuse, NY,SYR,"Syracuse Hancock International"
"TLHTallahassee Regional", Tallahassee, FL,TLH,"Tallahassee Regional"
"TOLToledo Express", Toledo, OH,TOL,"Toledo Express"
"TPATampa International", Tampa, FL,TPA,"Tampa International"
"TRITri-Cities Regional", Bristol, TN,TRI,"Tri-Cities Regional"
"TULTulsa International", Tulsa, OK,TUL,"Tulsa International"
"TUSTucson International", Tucson, AZ,TUS,"Tucson International"
"TVCCherry Capital", Traverse City, MI,TVC,"Cherry Capital"
"TWFJoslin Field-Magic Valley Regional", Twin Falls, ID,TWF,"Joslin Field-Magic Valley Regional"
"TXKTexarkana Regional  Webb Field", Texarkana, AR,TXK,"Texarkana Regional  Webb Field"
"TYRTyler Pounds Field", Tyler, TX,TYR,"Tyler Pounds Field"
"TYSMcGhee Tyson", Knoxville, TN,TYS,"McGhee Tyson"
"VCTVictoria Regional", Victoria, TX,VCT,"Victoria Regional"
"VISVisalia Muni", Visalia, CA,VIS,"Visalia Muni"
"VLDValdosta Regional", Valdosta, GA,VLD,"Valdosta Regional"
"VPSEglin Air Force Base", Valparaiso, FL,VPS,"Eglin Air Force Base"
"WRGWrangell", Wrangell, AK,WRG,"Wrangell"
"XNANorthwest Arkansas Regional", Fayetteville, AR,XNA,"Northwest Arkansas Regional"
"YAKYakutat", Yakutat, AK,YAK,"Yakutat"
"YUMYuma Intl", Yuma, AZ,YUM,"Yuma Intl"
